Service Name,Stream Type,Stream Name,Data Type,Consuming Services,Stream Purpose
BLECommunicationService,@Published,connectionState,BLEConnectionState,"MapPresenter, DataPanelView","BLE connection state enum (.notConnected, .readyForCommands, .dataReady)"
BLECommunicationService,@Published,latestPosition,PositionData?,"BalloonPositionService, MapPresenter","Latest Type 1 telemetry packet with position data"
BLECommunicationService,@Published,latestRadioChannel,RadioChannelData?,"BalloonPositionService, MapPresenter, DataPanelView","Latest Type 0/2 radio channel data (frequency, signal, battery)"
BLECommunicationService,@Published,latestSettings,SettingsData?,"MapPresenter, SettingsView","Latest Type 3 device settings data"
BLECommunicationService,@Published,deviceSettings,DeviceSettings,"DataPanelView, SettingsView, FrequencyManagementService","Device configuration (frequency, probe type, etc.)"
BLECommunicationService,@Published,deviceStatus,DeviceStatusData?,"DataPanelView","Device battery and signal status from Type 0 packets"
BLECommunicationService,@Published,afcFrequencies,[Int],"SettingsView","AFC frequency values for display"
BLECommunicationService,@Published,afcMovingAverage,Int,"SettingsView","AFC moving average frequency"
BLECommunicationService,@Published,connectionStatus,ConnectionStatus,"DataPanelView","Connection health status"
BLECommunicationService,@Published,lastMessageTimestamp,Date?,"MapPresenter, DataPanelView","Timestamp of last BLE message for staleness detection"
BLECommunicationService,PassthroughSubject,positionDataStream,PositionData,"BalloonPositionService","Real-time position data stream"
BLECommunicationService,PassthroughSubject,radioChannelDataStream,RadioChannelData,"BalloonPositionService","Real-time radio channel data stream"
BLECommunicationService,PassthroughSubject,settingsDataStream,SettingsData,"None (available but unused)","Real-time settings data stream"
APRSDataService,@Published,latestPosition,PositionData?,"BalloonPositionService, MapPresenter","Latest APRS position data from SondeHub"
APRSDataService,@Published,latestRadioChannel,RadioChannelData?,"BalloonPositionService, MapPresenter, DataPanelView","Latest APRS radio data (frequency, probe type)"
APRSDataService,@Published,connectionStatus,ConnectionStatus,"DataPanelView","APRS API connection status"
APRSDataService,@Published,bleSerialName,String?,"DataPanelView","BLE sonde name for comparison"
APRSDataService,@Published,aprsSerialName,String?,"DataPanelView","APRS sonde name for comparison"
APRSDataService,PassthroughSubject,positionDataStream,PositionData,"BalloonPositionService","Real-time APRS position stream"
APRSDataService,PassthroughSubject,radioChannelDataStream,RadioChannelData,"BalloonPositionService","Real-time APRS radio stream"
BalloonPositionService,@Published,currentPositionData,PositionData?,"BalloonTrackService, MapPresenter, DataPanelView, PredictionService","Unified position data (BLE or APRS)"
BalloonPositionService,@Published,currentRadioChannel,RadioChannelData?,"MapPresenter, DataPanelView, FrequencyManagementService","Unified radio data (BLE or APRS)"
